Series Name,Series Code,Region,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oceania,Fiji,FJI,65.508,66.31,67.428,67.376,66.844,67.24,67.79,67.81,67.893,67.924,67.114,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Finland,FIN,74.81317073,77.46585366,80.97560976,81.1804878,81.4804878,81.42926829,81.63170732,81.73414634,81.98292683,81.93170732,81.93414634,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,France,FRA,76.6,79.05609756,82.2195122,82.7195122,82.32195122,82.57317073,82.57560976,82.67560976,82.82682927,82.17560976,82.32439024,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oceania,French Polynesia,PYF,73.983,79.536,82.017,82.214,82.354,82.488,82.618,82.783,82.996,82.217,79.486,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Gabon,GAB,60.311,61.069,64.776,64.974,65.46,65.802,66.189,66.306,66.603,66.531,65.821,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,"Gambia, The",GMB,51.319,56.942,62.114,62.269,62.494,63.013,62.995,63.04,63.755,62.612,62.083,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Georgia,GEO,68.389,69.575,72.628,73.099,73.297,73.569,73.57,73.341,73.47,72.765,71.694,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Germany,DEU,75.08563415,77.92682927,80.4902439,81.0902439,80.64146341,80.9902439,80.99268293,80.89268293,81.29268293,81.04146341,80.90097561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Ghana,GHA,55.62,58.195,62.42,63.045,63.175,63.89,64.013,64.122,64.74,64.114,63.795,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Gibraltar,GIB,77.072,81.37,80.55,81.882,80.427,81.702,81.83,82.154,82.363,82.198,79.329,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Greece,GRC,76.93902439,77.88780488,81.28536585,81.38536585,81.03658537,81.38780488,81.28780488,81.78780488,81.63902439,81.28780488,80.18292683,..
